record_id,localized_code,base_code,country_code,country,country_group,title,doc_type,category,document_family,role_family,owner_channel,mailbox_function,filename,related_docs,keywords,region_scope,language,is_localized,active,version,zip_internal_path,source_zip,filename_is_exact,dummy_url
IN-HR-001,IN-HR-001,HR-001,IN,India,India,Workplace Respect Policy,policy,Employee Relations,employee_relations,,peopleteam@company.com,people_operations,HR-001_Workplace_Respect_Policy.docx,"IN-HR-002, IN-HR-003, IN-HR-005, IN-HR-043",India | Employee Relations | Workplace Respect Policy,country_specific,English,True,True,1,HR-001_Workplace_Respect_Policy.docx,hr_rag_50_docx_realistic_v2.zip,yes,https://hr-docs.company.com/in/HR-001_Workplace_Respect_Policy.docx
IN-HR-002,IN-HR-002,HR-002,IN,India,India,Professional Communication Standards,policy,Employee Relations,employee_relations,,peopleteam@company.com,people_operations,HR-002_Professional_Communication_Standards.docx,"IN-HR-001, IN-HR-003, IN-HR-039, IN-HR-049",India | Employee Relations | Professional Communication Standards,country_specific,English,True,True,1,HR-002_Professional_Communication_Standards.docx,hr_rag_50_docx_realistic_v2.zip,yes,https://hr-docs.company.com/in/HR-002_Professional_Communication_Standards.docx
IN-HR-003,IN-HR-003,HR-003,IN,India,India,Anti-Harassment Policy,policy,Employee Relations,employee_relations,,peopleteam@company.com,people_operations,HR-003_Anti-Harassment_Policy.docx,"IN-HR-004, IN-HR-005, IN-HR-008, IN-HR-043",India | Employee Relations | Anti-Harassment Policy,country_specific,English,True,True,1,HR-003_Anti-Harassment_Policy.docx,hr_rag_50_docx_realistic_v2.zip,yes,https://hr-docs.company.com/in/HR-003_Anti-Harassment_Policy.docx
IN-HR-004,IN-HR-004,HR-004,IN,India,India,Non-Retaliation and Protected Reporting Policy,policy,Compliance,compliance,,compliance@company.com,compliance,HR-004_Non-Retaliation_and_Protected_Reporting_Policy.docx,"IN-HR-003, IN-HR-005, IN-HR-007, IN-HR-050",India | Compliance | Non-Retaliation and Protected Reporting Policy,country_specific,English,True,True,1,HR-004_Non-Retaliation_and_Protected_Reporting_Policy.docx,hr_rag_50_docx_realistic_v2.zip,yes,https://hr-docs.company.com/in/HR-004_Non-Retaliation_and_Protected_Reporting_Policy.docx
IN-HR-005,IN-HR-005,HR-005,IN,India,India,Grievance Intake and Resolution Procedure,policy,Employee Relations,employee_relations,,peopleteam@company.com,people_operations,HR-005_Grievance_Intake_and_Resolution_Procedure.docx,"IN-HR-001, IN-HR-003, IN-HR-004, IN-HR-049",India | Employee Relations | Grievance Intake and Resolution Procedure,country_specific,English,True,True,1,HR-005_Grievance_Intake_and_Resolution_Procedure.docx,hr_rag_50_docx_realistic_v2.zip,yes,https://hr-docs.company.com/in/HR-005_Grievance_Intake_and_Resolution_Procedure.docx
IN-HR-006,IN-HR-006,HR-006,IN,India,India,Conflict of Interest Disclosure Policy,policy,Compliance,compliance,,compliance@company.com,compliance,HR-006_Conflict_of_Interest_Disclosure_Policy.docx,"IN-HR-007, IN-HR-028, IN-HR-050",India | Compliance | Conflict of Interest Disclosure Policy,country_specific,English,True,True,1,HR-006_Conflict_of_Interest_Disclosure_Policy.docx,hr_rag_50_docx_realistic_v2.zip,yes,https://hr-docs.company.com/in/HR-006_Conflict_of_Interest_Disclosure_Policy.docx
IN-HR-007,IN-HR-007,HR-007,IN,India,India,Whistleblower Reporting Policy,policy,Compliance,compliance,,compliance@company.com,compliance,HR-007_Whistleblower_Reporting_Policy.docx,"IN-HR-004, IN-HR-006, IN-HR-050",India | Compliance | Whistleblower Reporting Policy,country_specific,English,True,True,1,HR-007_Whistleblower_Reporting_Policy.docx,hr_rag_50_docx_realistic_v2.zip,yes,https://hr-docs.company.com/in/HR-007_Whistleblower_Reporting_Policy.docx
IN-HR-008,IN-HR-008,HR-008,IN,India,India,Equal Opportunity and Non-Discrimination Policy,policy,Compliance,compliance,,compliance@company.com,compliance,HR-008_Equal_Opportunity_and_Non-Discrimination_Policy.docx,"IN-HR-003, IN-HR-009, IN-HR-010, IN-HR-029",India | Compliance | Equal Opportunity and Non-Discrimination Policy,country_specific,English,True,True,1,HR-008_Equal_Opportunity_and_Non-Discrimination_Policy.docx,hr_rag_50_docx_realistic_v2.zip,yes,https://hr-docs.company.com/in/HR-008_Equal_Opportunity_and_Non-Discrimination_Policy.docx
IN-HR-009,IN-HR-009,HR-009,IN,India,India,"Diversity, Equity, and Inclusion Principles",policy,Employee Relations,employee_relations,,peopleteam@company.com,people_operations,"HR-009_Diversity,_Equity,_and_Inclusion_Principles.docx","IN-HR-001, IN-HR-008, IN-HR-029, IN-HR-045","India | Employee Relations | Diversity, Equity, and Inclusion Principles",country_specific,English,True,True,1,"HR-009_Diversity,_Equity,_and_Inclusion_Principles.docx",hr_rag_50_docx_realistic_v2.zip,yes,"https://hr-docs.company.com/in/HR-009_Diversity,_Equity,_and_Inclusion_Principles.docx"
IN-HR-010,IN-HR-010,HR-010,IN,India,India,Accessibility and Workplace Accommodation Policy,policy,HR Operations,hr_operations,,peopleteam@company.com,people_operations,HR-010_Accessibility_and_Workplace_Accommodation_Policy.docx,"IN-HR-008, IN-HR-017, IN-HR-021, IN-HR-041",India | HR Operations | Accessibility and Workplace Accommodation Policy,country_specific,English,True,True,1,HR-010_Accessibility_and_Workplace_Accommodation_Policy.docx,hr_rag_50_docx_realistic_v2.zip,yes,https://hr-docs.company.com/in/HR-010_Accessibility_and_Workplace_Accommodation_Policy.docx
IN-HR-011,IN-HR-011,HR-011,IN,India,India,Benefits Eligibility Overview,policy,Benefits,benefits,,benefits@company.com,benefits,HR-011_Benefits_Eligibility_Overview.docx,"IN-HR-012, IN-HR-013, IN-HR-014, IN-HR-015",India | Benefits | Benefits Eligibility Overview,country_specific,English,True,True,1,HR-011_Benefits_Eligibility_Overview.docx,hr_rag_50_docx_realistic_v2.zip,yes,https://hr-docs.company.com/in/HR-011_Benefits_Eligibility_Overview.docx
